4652,5450,7259,6562,6712,6831,6837
10000,8274,8088,8682,8676,8666,8671
10000,10000,9759,9532,9561,9528,9532
10000,10000,10000,9952,9894,9880,9883
10000,10000,10000,10000,9984,9978,9971
